Name,Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Catalog,Filename,Internal ID
3D glasses,,White,No,490,122,White,Colorful,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,AccessoryGlassThreed0,4463
3D glasses,,Black,No,490,122,Black,Colorful,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,AccessoryGlassThreed1,11020
bandage,,Beige,No,140,35,Beige,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,AccessoryMouthBandageSkin,4677
beak,,Yellow,No,490,122,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,AccessoryMouthBeakYellow,3549
birthday shades,,Yellow,No,NFS,620,Yellow,Red,1x1,Birthday,,1.0.0,Gorgeous,Not for sale,AccessoryGlassBirthday0,4510
birthday shades,,Pink,No,NFS,620,Pink,Pink,1x1,Birthday,,1.0.0,Gorgeous,Not for sale,AccessoryGlassBirthday1,11217
birthday shades,,Red,No,NFS,620,Red,Pink,1x1,Birthday,,1.0.0,Gorgeous,Not for sale,AccessoryGlassBirthday2,11218
birthday shades,,Blue,No,NFS,620,Light blue,Green,1x1,Birthday,,1.0.0,Gorgeous,Not for sale,AccessoryGlassBirthday3,11219
bottom-rimmed glasses,,Red,No,1100,275,Red,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,AccessoryGlassLoose0,4597
bottom-rimmed glasses,,Purple,No,1100,275,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,AccessoryGlassLoose1,11081
bottom-rimmed glasses,,Green,No,1100,275,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,AccessoryGlassLoose2,11082
bottom-rimmed glasses,,Blue,No,1100,275,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,AccessoryGlassLoose3,11083
bottom-rimmed glasses,,Yellow,No,1100,275,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,AccessoryGlassLoose4,11084
bottom-rimmed glasses,,Pink,No,1100,275,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,AccessoryGlassLoose5,11085
bottom-rimmed glasses,,Black,No,1100,275,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,AccessoryGlassLoose6,11086
browline glasses,,Black,No,1040,260,Black,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,AccessoryGlassThurmont0,4238
browline glasses,,Brown,No,1040,260,Brown,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,AccessoryGlassThurmont1,11069
browline glasses,,Green,No,1040,260,Green,Gray,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,AccessoryGlassThurmont2,11070
browline glasses,,Gray,No,1040,260,Gray,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,AccessoryGlassThurmont3,11071
bubblegum,,Pink,No,140,35,Pink,Pink,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,AccessoryMouthBubblegum0,5738
bubblegum,,Blue,No,140,35,Light blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,AccessoryMouthBubblegum1,11027
bubblegum,,Yellow,No,140,35,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,AccessoryMouthBubblegum2,11028
bubblegum,,Green,No,140,35,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,AccessoryMouthBubblegum3,11029
bubblegum,,White,No,140,35,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,AccessoryMouthBubblegum4,11030
bunny nose,,Pink,No,560,140,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,AccessoryMouthRabbit0,4600
bunny nose,,Yellow,No,560,140,Yellow,Orange,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,AccessoryMouthRabbit1,11023
bunny nose,,White,No,560,140,White,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,AccessoryMouthRabbit2,11024
butterfly shades,,Blue,No,1040,260,Black,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cool,For sale,AccessoryGlassButterfly0,4608
butterfly shades,,Red,No,1040,260,Red,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cool,For sale,AccessoryGlassButterfly1,11503
butterfly shades,,Brown,No,1040,260,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cool,For sale,AccessoryGlassButterfly2,11504
candy-skull mask,,Purple,No,NFS,800,White,Purple,1x1,Gulliver,,1.0.0,Gorgeous,Not for sale,AccessoryGlassmouthCatrina0,5666
candy-skull mask,,Orange,No,NFS,800,White,Orange,1x1,Gulliver,,1.0.0,Gorgeous,Not for sale,AccessoryGlassmouthCatrina1,11169
candy-skull mask,,Blue,No,NFS,800,White,Light blue,1x1,Gulliver,,1.0.0,Gorgeous,Not for sale,AccessoryGlassmouthCatrina2,11170
cat nose,,White,No,560,140,White,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,AccessoryMouthCat0,4483
cat nose,,Brown,No,560,140,Brown,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,AccessoryMouthCat1,11021
cat nose,,Navy blue,No,560,140,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,AccessoryMouthCat2,11022
cucumber pack,,Green,No,490,122,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,AccessoryMouthCucumber,4491
curly mustache,,Black,No,700,175,Colorful,Colorful,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,AccessoryMouthRollingmustacheBlack,4672
cyber shades,,Red,No,1300,325,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,AccessoryGlassCyber0,4552
cyber shades,,Black,No,1300,325,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,AccessoryGlassCyber1,11498
cyber shades,,Silver,No,1300,325,Gray,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,AccessoryGlassCyber2,11499
cyber shades,,Purple,No,1300,325,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,AccessoryGlassCyber3,11500
cyber shades,,Green,No,1300,325,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,AccessoryGlassCyber4,11501
cyber shades,,Yellow,No,1300,325,Yellow,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,AccessoryGlassCyber5,11502
DAL eye mask,,Blue,No,NFS,1010,Blue,Blue,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,Simple,Not for sale,AccessoryGlassDalmask0,12128
DAL sunglasses,,Yellow,No,NFS,1010,Yellow,Blue,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,Gorgeous,Not for sale,AccessoryGlassDalglass0,12129
doctor's mask,,White,No,140,35,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,AccessoryMouthMaskWhite,4451
dog nose,,White,No,560,140,White,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,AccessoryMouthDog0,5244
dog nose,,Beige,No,560,140,Orange,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,AccessoryMouthDog1,11025
dog nose,,Black,No,560,140,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,AccessoryMouthDog2,11026
double-bridge glasses,,Gold,No,1100,275,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,AccessoryGlassDoublebridge0,4263
double-bridge glasses,,Purple,No,1100,275,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,AccessoryGlassDoublebridge1,11076
