Name,Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Catalog,Filename,Internal ID
acid-washed jeans,,Blue,No,1320,330,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,BottomsTexPantsNormalChemical0,5286
acid-washed jeans,,Black,No,1320,330,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,BottomsTexPantsNormalChemical1,11385
animal-stripes skirt,,Tiger,No,1100,275,Yellow,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cool,For sale,BottomsTexSkirtBoxStripe0,9842
animal-stripes skirt,,Zebra,No,1100,275,Gray,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cool,For sale,BottomsTexSkirtBoxStripe1,12067
apron skirt,,Purple,No,700,175,White,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,BottomsTexSkirtBoxApron0,5710
apron skirt,,Blue,No,700,175,White,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,BottomsTexSkirtBoxApron1,8921
apron skirt,,Beige,No,700,175,White,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,BottomsTexSkirtBoxApron2,8922
athletic pants,,Red,No,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsNormalJersey0,3311
athletic pants,,Green,No,880,220,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsNormalJersey1,11295
athletic pants,,Black,No,880,220,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsNormalJersey2,11296
athletic pants,,Blue,No,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsNormalJersey3,11297
athletic pants,,Berry red,No,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsNormalJersey4,11298
athletic pants,,Navy blue,No,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsNormalJersey5,11299
athletic shorts,,Red,No,560,140,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsHalfJersey0,4518
athletic shorts,,Green,No,560,140,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsHalfJersey1,11905
athletic shorts,,Black,No,560,140,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsHalfJersey2,11906
athletic shorts,,Blue,No,560,140,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsHalfJersey3,11907
athletic shorts,,Berry red,No,560,140,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsHalfJersey4,11908
athletic shorts,,Navy blue,No,560,140,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsHalfJersey5,11909
basketball shorts,,Purple,No,980,245,Purple,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsHalfBasketball0,5720
basketball shorts,,Red,No,980,245,Red,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsHalfBasketball1,11307
basketball shorts,,Green,No,980,245,Green,Orange,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsHalfBasketball2,11308
basketball shorts,,Orange,No,980,245,Orange,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsHalfBasketball3,11309
basketball shorts,,Blue,No,980,245,Blue,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsHalfBasketball4,11310
basketball shorts,,Yellow,No,980,245,Yellow,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,BottomsTexPantsHalfBasketball5,11311
