Name,Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Catalog,Primary Shape,Secondary Shape,Filename,Internal ID
academy uniform,,Gray,No,2080,520,Gray,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Box,L,TopsTexOnepieceBoxLYosoiki1,9016
academy uniform,,Red,No,2080,520,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Box,L,TopsTexOnepieceBoxLYosoiki2,9017
academy uniform,,Navy blue,No,2080,520,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Box,L,TopsTexOnepieceBoxLYosoiki0,2699
adventure dress,,Blue,No,2800,700,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Balloon,H,TopsTexOnepieceBalloonHStrangeBlue,3686
alpinist dress,,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Balloon,H,TopsTexOnepieceBalloonHTyrolean0,3168
alpinist dress,,Blue,No,2520,630,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Balloon,H,TopsTexOnepieceBalloonHTyrolean1,8615
alpinist dress,,Red,No,2520,630,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Balloon,H,TopsTexOnepieceBalloonHTyrolean2,8616
alpinist overalls,,Blue,No,2520,630,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Overall,H,TopsTexOnepieceOverallHTyrolean1,8631
alpinist overalls,,Red,No,2520,630,Red,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Overall,H,TopsTexOnepieceOverallHTyrolean2,8632
alpinist overalls,,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Overall,H,TopsTexOnepieceOverallHTyrolean0,4443
ancient belted robe,,Green,No,3640,910,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen1,9158
ancient belted robe,,Beige,No,3640,910,Beige,Brown,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen2,9159
ancient belted robe,,Blue,No,3640,910,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen0,5518
ancient belted robe,,White,No,3640,910,White,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen3,9160
ancient belted robe,,Purple,No,3640,910,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen4,9161
ancient sashed robe,,Pink,No,2520,630,Pink,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukuwomen1,9162
ancient sashed robe,,Red,No,2520,630,Pink,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukuwomen2,9163
ancient sashed robe,,Blue,No,2520,630,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukuwomen3,9164
ancient sashed robe,,Purple,No,2520,630,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukuwomen4,9165
ancient sashed robe,,Green,No,2520,630,Green,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukuwomen0,5519
áo dài,,White,No,2520,630,White,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,B-long,L,TopsTexOnepieceBlongLAodai0,3493
áo dài,,Navy blue,No,2520,630,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,B-long,L,TopsTexOnepieceBlongLAodai1,9141
áo dài,,Yellow,No,2520,630,Yellow,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,B-long,L,TopsTexOnepieceBlongLAodai2,9142
áo dài,,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,B-long,L,TopsTexOnepieceBlongLAodai3,9143
áo dài,,Pink,No,2520,630,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,B-long,L,TopsTexOnepieceBlongLAodai4,9144
apple dress,,Red,Yes,NFS,1600,Yellow,Red,1x1,Crafting,,1.0.0,Cute,Not for sale,A-line,N,TopsTexOnepieceAlineNApple0,9836
astro dress,,Green,No,2500,625,Gray,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,A-line,N,TopsTexOnepieceAlineNSpace1,7890
astro dress,,Pink,No,2500,625,Gray,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,A-line,N,TopsTexOnepieceAlineNSpace2,7891
astro dress,,Blue,No,2500,625,Gray,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,A-line,N,TopsTexOnepieceAlineNSpace0,5135
attus robe,,Blue,No,2520,630,Blue,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,B-long,L,TopsTexOnepieceBlongLAttoushi0,10907
attus robe,,Brown,No,2520,630,Brown,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,B-long,L,TopsTexOnepieceBlongLAttoushi1,11998
attus robe,,Red,No,2520,630,Red,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,B-long,L,TopsTexOnepieceBlongLAttoushi2,11999
baby romper,,Baby purple,No,1920,480,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Overall,L,TopsTexOnepieceOverallLRompers1,7828
baby romper,,Baby yellow,No,1920,480,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Overall,L,TopsTexOnepieceOverallLRompers2,7829
baby romper,,Baby mint,No,1920,480,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Overall,L,TopsTexOnepieceOverallLRompers0,4470
baby romper,,Baby green,No,1920,480,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Overall,L,TopsTexOnepieceOverallLRompers3,7830
baby romper,,Baby pink,No,1920,480,Red,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Overall,L,TopsTexOnepieceOverallLRompers4,7831
baby romper,,Baby gray,No,1920,480,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Overall,L,TopsTexOnepieceOverallLRompers5,7832
baby romper,,Baby blue,No,1920,480,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Overall,L,TopsTexOnepieceOverallLRompers6,7833
baby romper,,Baby orange,No,1920,480,Orange,Orange,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Overall,L,TopsTexOnepieceOverallLRompers7,7834
baby-chick costume,,Beige,No,1700,425,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Rib,N,TopsTexOnepieceRibNChick2,9641
baby-chick costume,,Yellow,No,1700,425,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Rib,N,TopsTexOnepieceRibNChick0,5644
baby-chick costume,,Blue,No,1700,425,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Rib,N,TopsTexOnepieceRibNChick1,9640
baji jeogori,,Blue,No,2520,630,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLKorea0,5818
baji jeogori,,Purple,No,2520,630,Purple,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLKorea1,9166
baji jeogori,,Aqua,No,2520,630,Light blue,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLKorea2,9167
baji jeogori,,Black,No,2520,630,Black,Gray,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLKorea3,9168
ballet outfit,,Pink,No,2880,720,Pink,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Balloon,N,TopsTexOnepieceBalloonNBallet0,3166
ballet outfit,,Mint,No,2880,720,Green,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Balloon,N,TopsTexOnepieceBalloonNBallet1,9412
ballet outfit,,Blue,No,2880,720,Blue,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Balloon,N,TopsTexOnepieceBalloonNBallet2,9413
ballet outfit,,Purple,No,2880,720,Purple,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Balloon,N,TopsTexOnepieceBalloonNBallet3,9414
ballet outfit,,Black,No,2880,720,Black,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Balloon,N,TopsTexOnepieceBalloonNBallet4,9415
ballet outfit,,White,No,2880,720,White,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Balloon,N,TopsTexOnepieceBalloonNBallet5,9416
ballet outfit,,Yellow,No,2880,720,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Balloon,N,TopsTexOnepieceBalloonNBallet6,9417
ballet outfit,,Red,No,2880,720,Red,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Balloon,N,TopsTexOnepieceBalloonNBallet7,9418
balmacaan coat,,Avocado,No,1540,385,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,B-long,L,TopsTexOnepieceBlongLBalmakarn0,4606
balmacaan coat,,Beige,No,1540,385,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,B-long,L,TopsTexOnepieceBlongLBalmakarn1,9306
balmacaan coat,,Navy blue,No,1540,385,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,B-long,L,TopsTexOnepieceBlongLBalmakarn2,9307
baseball uniform,,Navy blue,No,1760,440,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,Overall,L,TopsTexOnepieceOverallLBaseball1,11106
baseball uniform,,Green,No,1760,440,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,Overall,L,TopsTexOnepieceOverallLBaseball2,11107
baseball uniform,,Orange,No,1760,440,Black,Orange,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,Overall,L,TopsTexOnepieceOverallLBaseball3,11108
baseball uniform,,Yellow,No,1760,440,Black,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,Overall,L,TopsTexOnepieceOverallLBaseball4,11109
baseball uniform,,Red,No,1760,440,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,Overall,L,TopsTexOnepieceOverallLBaseball0,3611
bath-towel wrap,,Pink,No,630,157,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,N,TopsTexOnepieceBoxNBathtowel0,4361
bath-towel wrap,,White,No,630,157,White,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,N,TopsTexOnepieceBoxNBathtowel1,7811
bath-towel wrap,,Blue,No,630,157,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,N,TopsTexOnepieceBoxNBathtowel2,7812
bath-towel wrap,,Green,No,630,157,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,N,TopsTexOnepieceBoxNBathtowel3,7813
bath-towel wrap,,Purple,No,630,157,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,N,TopsTexOnepieceBoxNBathtowel4,7814
bath-towel wrap,,Black,No,630,157,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,N,TopsTexOnepieceBoxNBathtowel5,7815
bath-towel wrap,,Brown,No,630,157,Brown,Brown,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,N,TopsTexOnepieceBoxNBathtowel6,7816
bathrobe,,White,No,720,180,White,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,L,TopsTexOnepieceBoxLBathrobes0,3165
bathrobe,,Purple,No,720,180,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,L,TopsTexOnepieceBoxLBathrobes4,7820
bathrobe,,Black,No,720,180,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,L,TopsTexOnepieceBoxLBathrobes5,7821
bathrobe,,Brown,No,720,180,Brown,Brown,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,L,TopsTexOnepieceBoxLBathrobes6,7822
bathrobe,,Pink,No,720,180,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,L,TopsTexOnepieceBoxLBathrobes1,7817
bathrobe,,Blue,No,720,180,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,L,TopsTexOnepieceBoxLBathrobes2,7818
bathrobe,,Green,No,720,180,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,L,TopsTexOnepieceBoxLBathrobes3,7819
bear costume,,Black,No,1700,425,Black,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Overall,L,TopsTexOnepieceOverallLBear1,9628
bear costume,,Pink,No,1700,425,Pink,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Overall,L,TopsTexOnepieceOverallLBear2,9629
bear costume,,Brown,No,1700,425,Brown,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Overall,L,TopsTexOnepieceOverallLBear0,3417
