Name,Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Catalog,Filename,Internal ID
acorn knit cap,,Mustard,No,880,220,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,CapHatAcorn1,10933
acorn knit cap,,Avocado,No,880,220,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,CapHatAcorn2,10934
acorn knit cap,,Berry red,No,880,220,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,CapHatAcorn3,10935
acorn knit cap,,Navy blue,No,880,220,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,CapHatAcorn4,10936
acorn knit cap,,Cream,No,880,220,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,CapHatAcorn5,10937
acorn knit cap,,Chestnut,No,880,220,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,CapHatAcorn0,5315
alpinist hat,,Blue,No,NFS,500,Blue,Light blue,1x1,Gulliver,,1.0.0,Simple,Not for sale,CapHatTyrolean1,11884
alpinist hat,,Red,No,NFS,500,Red,Pink,1x1,Gulliver,,1.0.0,Simple,Not for sale,CapHatTyrolean2,11885
alpinist hat,,Green,No,NFS,500,Green,Green,1x1,Gulliver,,1.0.0,Simple,Not for sale,CapHatTyrolean0,5295
ancient administrator hat,,Black,No,NFS,800,Black,Black,1x1,Gulliver,,1.0.0,Elegant,Not for sale,CapHatKanboBlack,6048
apple hat,,Red,Yes,NFS,1000,Red,Yellow,1x1,Crafting,,1.0.0,Cute,Not for sale,CapHatApple0,9871
Aran-knit cap,,Red,No,880,220,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,CapHatAlan1,12045
Aran-knit cap,,Blue,No,880,220,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,CapHatAlan2,12046
Aran-knit cap,,Green,No,880,220,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,CapHatAlan3,12047
Aran-knit cap,,White,No,880,220,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,CapHatAlan0,9864
baby's hat,,Baby purple,No,560,140,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,CapBangsBonnet1,11853
baby's hat,,Baby yellow,No,560,140,Yellow,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,CapBangsBonnet2,11854
baby's hat,,Baby green,No,560,140,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,CapBangsBonnet3,11855
baby's hat,,Baby pink,No,560,140,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,CapBangsBonnet4,11856
baby's hat,,Baby gray,No,560,140,Beige,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,CapBangsBonnet5,11857
baby's hat,,Baby blue,No,560,140,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,CapBangsBonnet6,11858
baby's hat,,Baby orange,No,560,140,Orange,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,CapBangsBonnet7,11859
baby's hat,,Baby mint,No,560,140,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,CapBangsBonnet0,5363
balloon hat,,Green,No,1120,280,Green,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHatBalloon3,11052
balloon hat,,Rainbow,No,1120,280,Colorful,Colorful,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHatBalloon0,5340
balloon hat,,Orange,No,1120,280,Orange,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHatBalloon1,11050
balloon hat,,Blue,No,1120,280,Blue,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHatBalloon2,11051
bamboo hat,,Beige,Yes,NFS,200,Beige,Beige,1x1,Crafting,,1.0.0,Simple,Not for sale,CapHatAjiroBeige,5143
barrette,,Pink,No,490,122,Pink,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,CapOrnamentTBarrette0,9860
baseball cap,,Navy blue,No,840,210,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,CapHatBaseball1,12092
baseball cap,,Green,No,840,210,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,CapHatBaseball2,12093
baseball cap,,Orange,No,840,210,Black,Orange,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,CapHatBaseball3,12094
baseball cap,,Red,No,840,210,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,CapHatBaseball0,9763
baseball cap,,Yellow,No,840,210,Black,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,CapHatBaseball4,12095
batter's helmet,,Navy blue,No,1040,260,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHelmetBaseball1,11596
batter's helmet,,Green,No,1040,260,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHelmetBaseball2,11597
batter's helmet,,Orange,No,1040,260,Black,Orange,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHelmetBaseball3,11598
batter's helmet,,Yellow,No,1040,260,Black,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHelmetBaseball4,11599
batter's helmet,,Red,No,1040,260,Red,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHelmetBaseball0,5366
bear cap,,Brown,No,1120,280,Brown,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,CapBangsBear0,5330
bear cap,,Black,No,1120,280,Black,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,CapBangsBear1,11704
bear cap,,Pink,No,1120,280,Pink,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,CapBangsBear2,11705
bear cap,,Blue,No,1120,280,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,CapBangsBear3,11706
beret,,Berry red,No,880,220,Red,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,CapHatBeret0,5260
beret,,Blue,No,880,220,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,CapHatBeret1,11523
beret,,Green,No,880,220,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,CapHatBeret2,11524
beret,,Mustard,No,880,220,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,CapHatBeret3,11525
beret,,Gray,No,880,220,Gray,Gray,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,CapHatBeret4,11526
beret,,White,No,880,220,White,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,CapHatBeret5,11527
bicycle helmet,,Red,No,1100,275,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHatCyclemet2,10220
bicycle helmet,,Lime,No,1100,275,Yellow,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHatCyclemet3,10221
bicycle helmet,,Green,No,1100,275,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHatCyclemet4,10222
bicycle helmet,,Orange,No,1100,275,Orange,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHatCyclemet5,10223
bicycle helmet,,Purple,No,1100,275,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHatCyclemet6,10224
bicycle helmet,,Pink,No,1100,275,Pink,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHatCyclemet7,10225
bicycle helmet,,Navy blue,No,1100,275,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHatCyclemet1,10219
bicycle helmet,,Blue,No,1100,275,Light blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,For sale,CapHatCyclemet0,5282
birthday hat,,Blue,No,NFS,600,Light blue,White,1x1,Birthday,,1.0.0,Gorgeous,Not for sale,CapHatBirthday0,4800
birthday hat,,Yellow,No,NFS,600,Yellow,White,1x1,Birthday,,1.0.0,Gorgeous,Not for sale,CapHatBirthday1,11031
birthday hat,,Pink,No,NFS,600,Pink,White,1x1,Birthday,,1.0.0,Gorgeous,Not for sale,CapHatBirthday2,11032
blue rose crown,,Blue,Yes,NFS,12000,Blue,Blue,1x1,Crafting,,1.0.0,Cute,Not for sale,CapOrnamentRose4,7377
bowler hat with ribbon,,Beige,No,1100,275,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,CapHatBowler1,10882
bowler hat with ribbon,,Green,No,1100,275,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,CapHatBowler2,10883
bowler hat with ribbon,,Red,No,1100,275,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,CapHatBowler3,10884
bowler hat with ribbon,,Pink,No,1100,275,Pink,Pink,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,CapHatBowler4,10885
bowler hat with ribbon,,Blue,No,1100,275,Light blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,CapHatBowler0,5296
bun wig,,Pink,No,1440,360,Pink,Colorful,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,CapWigDoublebun0,5693
