Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID
accessories stand,,White,NA,NA,NA,No,No,No,NA,1500,375,White,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_0_0,0_0,3948
accessories stand,,Pink,NA,NA,NA,No,No,No,NA,1500,375,Pink,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_1_0,1_0,3948
accessories stand,,Black,NA,NA,NA,No,No,No,NA,1500,375,Black,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_2_0,2_0,3948
accessories stand,,Brown,NA,NA,NA,No,No,No,NA,1500,375,Brown,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_3_0,3_0,3948
accessories stand,,Light blue,NA,NA,NA,No,No,No,NA,1500,375,Light blue,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_4_0,4_0,3948
ACNH Nintendo Switch,,NA,NA,NA,NA,No,No,No,NA,35960,8990,Green,Light blue,1x1,"Nintendo
Nook Shopping",,1.1.0,child's room,living room,None,None,No,Game Console,Does not play music,Emission,For sale,FtrSwitchAC,NA,12579
agrias butterfly model,,NA,NA,NA,NA,No,No,No,NA,NFS,9000,Pink,Purple,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale,FtrInsectMiirotatehaToy,NA,7080
aluminum briefcase,,Stacks of cash,NA,NA,NA,No,No,No,NA,100000,25000,Gray,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,expensive,None,None,Yes,Office,Does not play music,No lighting,For sale,FtrDuralumincase_Remake_0_0,0_0,7453
aluminum briefcase,,Gold bars,NA,NA,NA,No,No,No,NA,100000,25000,Gray,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,expensive,None,None,Yes,Office,Does not play music,No lighting,For sale,FtrDuralumincase_Remake_1_0,1_0,7453
amp,,Black,NA,NA,NA,No,No,No,NA,5100,1275,Black,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale,FtrAmp_Remake_0_0,0_0,849
