Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Version,Catalog,Filename,Variant ID,Internal ID
Admiral's photo,,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_0_0,0_0,6626
Admiral's photo,,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_1_0,1_0,6626
Admiral's photo,,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_2_0,2_0,6626
Admiral's photo,,White,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_3_0,3_0,6626
Admiral's photo,,Pop,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_4_0,4_0,6626
Admiral's photo,,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_5_0,5_0,6626
Admiral's photo,,Silver,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_6_0,6_0,6626
Admiral's photo,,Gold,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_7_0,7_0,6626
Agent S's photo,,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_0_0,0_0,6709
Agent S's photo,,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_1_0,1_0,6709
