Name,Image,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Filename,Internal ID
aluminum rug,,No,1500,375,Gray,Gray,3x2 ,Saharah,Medium rug,1.0.0,garden,outdoors,None,Slender Rugs,For sale,RugRectAluminumM00,7356
apple rug,,Yes,NFS,1200,Red,Red,3x3 ,Crafting,,1.0.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,RugOtherAppleM00,7327
black blocks rug,,No,1500,375,Black,Gray,3x3 ,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareBlockM03,11104
black wooden-deck rug,,No,1500,375,Black,Black,3x2 ,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,For sale,RugRectDeckM03,7382
black-design kitchen mat,,No,1000,250,Black,Orange,2x1 ,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectNativeKitchenS03,7594
blue argyle rug,,No,2000,500,Blue,Green,4x3 ,Saharah,Large rug,1.0.0,living room,expensive,None,Slender Pattern Rugs,For sale,RugRectArgyleL02,8467
blue blocks rug,,No,1500,375,Blue,Blue,3x3 ,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareBlockM01,11102
blue dotted rug,,No,2000,500,Blue,Blue,4x3 ,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectDotL03,7467
blue kilim-style carpet,,No,2000,500,Blue,Black,5x5 ,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareKirimL01,9316
blue kitchen mat,,No,1000,250,Blue,Blue,2x1 ,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectKitchenS02,8394
blue medium round mat,,No,1500,375,Blue,Blue,3x3 ,Saharah,Medium rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleM02,9546
blue message mat,,No,1000,250,Blue,Blue,2x1 ,Saharah,Small rug,1.0.0,child's room,None,None,Message Mats,For sale,RugOtherMessageS01,9310
blue Persian rug,,No,2000,500,Blue,Beige,5x5 ,Saharah,Large rug,1.0.0,expensive,living room,None,Pattern Rugs,For sale,RugSquarePersianL01,8035
blue shaggy rug,,No,2000,500,Blue,Blue,5x5 ,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareShaggyL02,9564
blue small round mat,,No,1000,250,Blue,Blue,2x2 ,Saharah,Small rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleS02,9549
blue stripes rug,,No,2000,500,Blue,White,4x3 ,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectBorderL02,7533
blue vinyl sheet,,No,1500,375,Blue,Colorful,3x2 ,Saharah,Medium rug,1.0.0,garden,None,None,Slender Pattern Rugs,For sale,RugRectVinylM01,7404
blue wavy rug,,No,2000,500,Blue,Light blue,4x3 ,Saharah,Large rug,1.0.0,living room,child's room,None,Slender Pattern Rugs,For sale,RugRectWaveL02,7458
blue-design kitchen mat,,No,1000,250,Blue,Black,2x1 ,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectNativeKitchenS01,7595
botanical rug,,No,2000,500,Green,Green,4x3 ,Saharah,Large rug,1.0.0,living room,None,None,Slender Pattern Rugs,For sale,RugRectBotanicalL00,7353
brown argyle rug,,No,2000,500,Brown,Yellow,4x3 ,Saharah,Large rug,1.0.0,living room,expensive,None,Slender Pattern Rugs,For sale,RugRectArgyleL03,8468
brown kitchen mat,,No,1000,250,Brown,Brown,2x1 ,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectKitchenS00,7341
brown shaggy rug,,No,2000,500,Brown,Brown,5x5 ,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareShaggyL01,9563
brown wooden-deck rug,,No,1500,375,Brown,Brown,3x2 ,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,For sale,RugRectDeckM00,7323
Bunny Day rug,,Yes,NFS,2400,None,None,3x3,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",1.1.0a,fancy,child's room,Bunny Day,Icon Rugs,Not for sale,RugOtherEasterM00,7546
cherry rug,,Yes,NFS,1200,Red,Red,3x3 ,Crafting,,1.0.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,RugOtherCherryM00,7328
colorful vinyl sheet,,No,1500,375,Colorful,Colorful,3x2 ,Saharah,Medium rug,1.0.0,garden,None,None,Slender Pattern Rugs,For sale,RugRectVinylM00,7359
dark bamboo rug,,Yes,NFS,960,Brown,Brown,3x2 ,Crafting,,1.0.0,zen-style,None,None,Wood Rugs,Not for sale,RugRectBambooM01,11114
Earth rug,,No,1500,375,Blue,White,3x3 ,Saharah,Medium rug,1.0.0,space,child's room,None,Icon Rugs,For sale,RugRoundEarthM00,7357
fish rug,,No,NFS,375,Light blue,Light blue,3x3 ,Fishing Tourney,,1.0.0,ocean,child's room,None,Icon Rugs,Not for sale,RugOtherFishM00,7361
fluffy rug,,No,1500,375,White,White,3x3 ,Saharah,Medium rug,1.0.0,fancy,child's room,None,Icon Rugs,For sale,RugOtherCloudM00,7329
