Name,Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Catalog,Filename,Internal ID
antique boots,,Brown,No,2640,660,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,ShoesKneeAntique0,5523
antique boots,,Black,No,2640,660,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,ShoesKneeAntique1,5523
antique boots,,Greige,No,2640,660,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,ShoesKneeAntique2,5523
armor shoes,,Gray,Yes,NFS,3000,Gray,Gray,1x1,Crafting,,1.0.0,Cool,Not for sale,ShoesKneeKnightIron,5472
babouches,,Blue,No,560,140,Light blue,White,1x1,Kicks,,1.0.0,Cute,For sale,ShoesSandalBaboush0,6043
babouches,,Orange,No,560,140,Orange,White,1x1,Kicks,,1.0.0,Cute,For sale,ShoesSandalBaboush1,6043
babouches,,Pink,No,560,140,Pink,White,1x1,Kicks,,1.0.0,Cute,For sale,ShoesSandalBaboush2,6043
babouches,,Yellow,No,560,140,Yellow,White,1x1,Kicks,,1.0.0,Cute,For sale,ShoesSandalBaboush3,6043
babouches,,Gray,No,560,140,Gray,Yellow,1x1,Kicks,,1.0.0,Cute,For sale,ShoesSandalBaboush4,6043
babouches,,Purple,No,560,140,Purple,Yellow,1x1,Kicks,,1.0.0,Cute,For sale,ShoesSandalBaboush5,6043
babouches,,Mint,No,560,140,Green,Yellow,1x1,Kicks,,1.0.0,Cute,For sale,ShoesSandalBaboush6,6043
babouches,,Red,No,560,140,Red,Yellow,1x1,Kicks,,1.0.0,Cute,For sale,ShoesSandalBaboush7,6043
ballet slippers,,Pink,No,2200,550,Pink,Pink,1x1,Kicks,,1.0.0,Elegant,For sale,ShoesLowcutBallet0,5608
ballet slippers,,Mint,No,2200,550,Light blue,Light blue,1x1,Kicks,,1.0.0,Elegant,For sale,ShoesLowcutBallet1,5608
ballet slippers,,Blue,No,2200,550,Blue,Blue,1x1,Kicks,,1.0.0,Elegant,For sale,ShoesLowcutBallet2,5608
ballet slippers,,Purple,No,2200,550,Purple,Purple,1x1,Kicks,,1.0.0,Elegant,For sale,ShoesLowcutBallet3,5608
