Name,Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Catalog,Filename,Internal ID
aerobics leggings,,Emerald & lime,No,700,175,Green,Light blue,1x1,Kicks,,1.0.0,Active,For sale,SocksTexAerobics1,9794
aerobics leggings,,Purple & orange,No,700,175,Orange,Purple,1x1,Kicks,,1.0.0,Active,For sale,SocksTexAerobics2,9795
aerobics leggings,,Light blue & salmon pink,No,700,175,Pink,Light blue,1x1,Kicks,,1.0.0,Active,For sale,SocksTexAerobics3,9796
aerobics leggings,,Yellow & blue,No,700,175,Blue,Yellow,1x1,Kicks,,1.0.0,Active,For sale,SocksTexAerobics4,9797
aerobics leggings,,Red & pink,No,700,175,Pink,Red,1x1,Kicks,,1.0.0,Active,For sale,SocksTexAerobics0,5197
Aran-knit socks,,White,No,720,180,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,SocksTexAlan1,9058
Aran-knit socks,,Red,No,720,180,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,SocksTexAlan2,9059
Aran-knit socks,,Green,No,720,180,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,SocksTexAlan3,9060
Aran-knit socks,,Blue,No,720,180,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,SocksTexAlan4,9061
Aran-knit socks,,Black,No,720,180,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,SocksTexAlan5,9062
Aran-knit socks,,Beige,No,720,180,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,SocksTexAlan0,4742
argyle crew socks,,Red,No,720,180,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,SocksTexArgyle1,9921
argyle crew socks,,Green,No,720,180,Green,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,SocksTexArgyle2,9922
argyle crew socks,,Beige,No,720,180,Beige,Brown,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,SocksTexArgyle3,9923
argyle crew socks,,Gray,No,720,180,Gray,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,SocksTexArgyle4,9924
argyle crew socks,,White,No,720,180,White,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,SocksTexArgyle5,9925
argyle crew socks,,Orange,No,720,180,Orange,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,SocksTexArgyle6,9926
argyle crew socks,,Pink,No,720,180,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,SocksTexArgyle7,9927
argyle crew socks,,Blue,No,720,180,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,SocksTexArgyle0,5806
back-bow socks,,Yellow,No,600,150,Yellow,Green,1x1,Kicks,,1.0.0,Cute,For sale,SocksTexRibbon1,9053
back-bow socks,,Black,No,600,150,Black,White,1x1,Kicks,,1.0.0,Cute,For sale,SocksTexRibbon2,9054
back-bow socks,,White,No,600,150,White,Pink,1x1,Kicks,,1.0.0,Cute,For sale,SocksTexRibbon3,9055
back-bow socks,,Blue,No,600,150,Light blue,Yellow,1x1,Kicks,,1.0.0,Cute,For sale,SocksTexRibbon4,9056
back-bow socks,,Pink,No,600,150,Pink,Black,1x1,Kicks,,1.0.0,Cute,For sale,SocksTexRibbon0,4718
back-bow socks,,Peacock blue,No,600,150,Green,Pink,1x1,Kicks,,1.0.0,Cute,For sale,SocksTexRibbon5,9057
bobby socks,,White,No,480,120,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,SocksTexFolded0,5171
bobby socks,,Gray,No,480,120,Gray,Gray,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,SocksTexFolded1,10017
bobby socks,,Black,No,480,120,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,SocksTexFolded2,10018
