Name,Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Catalog,Filename,Internal ID
A tee,,NA,No,560,140,Blue,White,1x1,Nook Shopping Catalog,,1.0.0,Simple,For sale,TopsTexTopTshirtsHAce0,8532
acid-washed jacket,,Black,No,1680,420,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,TopsTexTopOuterLChemical1,9538
acid-washed jacket,,Blue,No,1680,420,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,TopsTexTopOuterLChemical0,5289
after-school jacket,,Black,No,1050,262,Black,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,TopsTexTopYshirtsLGakuranopen0,4366
after-school jacket,,Berry red,No,1050,262,Red,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,TopsTexTopYshirtsLGakuranopen1,7554
after-school jacket,,Green,No,1050,262,Green,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,TopsTexTopYshirtsLGakuranopen2,7555
after-school jacket,,White,No,1050,262,White,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,TopsTexTopYshirtsLGakuranopen3,7556
after-school jacket,,Purple,No,1050,262,Purple,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,TopsTexTopYshirtsLGakuranopen4,7557
after-school jacket,,Gray,No,1050,262,Gray,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,TopsTexTopYshirtsLGakuranopen5,7558
after-school jacket,,Blue,No,1050,262,Blue,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,TopsTexTopYshirtsLGakuranopen6,7559
animal-print coat,,Blue,No,2320,580,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,TopsTexTopCoatLAnimal0,4465
animal-print coat,,Green,No,2320,580,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,TopsTexTopCoatLAnimal1,8449
